Party_Name,Chair,Founded,Telephone,Address,Member_Count
Bağımsızlık Partisi,Yener BOZKURT,2021-09-07,,Kızılay Mah. GMK Cd. Esetel Apt. Sit. No:18/15 Çankaya/ANKARA,34
Osmanlı Partisi,Habip GELEŞ,2016-08-31,0850 520 00 50,Menderes Mahallesi Cengiz Topel Caddesi 41/A Sincan/ANKARA,5541
Birleşik Devrimci Parti,Elif TORUN ÖNEREN,2015-09-07,-,Meşrutiyet Cad. Konur 2 Sokak Kat:3 Kızılay/ANKARA,89
ÖTÜKEN BİRLİĞİ PARTİSİ,Çağatay Korkut KÖRÜKLÜ,2017-12-20,,Cihan Sokak No:21/5 Sıhhiye/ANKARA,0
Büyük Türkiye Partisi,Hüseyin DURMAZ,2020-09-16,,Kızılay Mahallesi İzmir 2 Caddesi No:57-16 Çankaya/ANKARA,3951
Özgürlük ve Sosyalizm Partisi,Sinan ÇİFTYÜREK,2011-12-21,434 19 20,Fidanlık Mahallesi Sağlık 1 sokak No: 55/7 Kızılay - ANKARA,99
Büyük Birlik Partisi,Mustafa DESTİCİ,1993-01-29,434 09 20,GAZİ MAH.SİLAHTAR CAD. N0:90 Y.MAHALLE/ANKARA,119237
Saadet Partisi,Temel KARAMOLLAOĞLU,2001-07-20,284 88 00,Zübeyde Hanım Mahallesi Tesviyeciler Caddesi No:31 Altındağ/ANKARA,265738
Büyük İktidar Partisi,Selamettin TELLİOĞLU,2023-05-22,,KOCATEPE MAH. BAYINDIR 2 SK. NO: 54 / 3 ÇANKAYA/ANKARA,0
Sağduyu Partisi,Mehmet Yücel AĞARGÜN,2002-09-04,230 45 49,STRAZBURG CAD N0:28/8 SIHHIYE/ANKARA,0
Cihan Partisi,Kürşad Emre ÖĞRETMEK,2014-08-06,0312 324 20 14,Anafartalar Mah. Soydaşlar Sk. 10/11 Altındağ/Ankara,146
Sevgi ve Saygı Partisi,Ahmet Fatih ERDİLLİ,2021-03-23,,Tuzluçayır mah. 588 sk. No: 4 / 12 Mamak/ANKARA,0
Cumhuriyet Halk Partisi,Kemal KILIÇDAROĞLU,1992-09-09,207 40 00,SÖĞÜTÖZÜ ANADOLU BLV. N0:12 ANKARA,1369430
Sol Parti,Önder İŞLEYEN,1994-06-08,231 72 32,Kültür Mahallesi Mithatpaşa Caddesi No:45/15 Çankaya/Ankara,5639
