Party_Name,Chair,Founded,Telephone,Address,Member_Count
İnsanca Yaşam Partisi,,25.02.2025,,KUZEY YILDIZI MAH. DORUK VİLLAKENT SİT. NO: 76 / 1 YENİMAHALLE/ANKARA,
Yeşil Sol Parti,Ahmet ASENA - Didem Betül GÖÇER,24.11.2023,,Kızılay Mh. Atatürk Blv. No: 88 / 16 Çankaya/ANKARA,613
İşçi Demokrasisi Partisi,Oktay ÇELİK,21.08.2015,284 93 88,Demirlibahçe Mahallesi No:4 Daire:2 Mamak/ANKARA,44
Yurt Partisi,Sadettin TANTAN,14.03.2002,418 90 34,MEŞRUTİYET  CAD BAYINDIR 2 SOK 59/5 KIZILAY,192
İyi Parti,Dursun Müsavat DERVİŞOĞLU,25.10.2017,408 08 08,MUSTAFA KEMAL MAHALLESİ 2120. CADDE NO:9 ÇANKAYA/ANKARA,412.744
Yüce Diriliş Partisi,Lütfü YILMAZ,16.04.2007,230 54 30,GAZİ MUSTAFA KEMAL BULVARI 39/10 ANK,131
Kadın Partisi,Fatma Benal YAZGAN,26.06.2014,(0312) 266 72 91,Tunalı Hilmi Caddesi Gümüşsoy pasajı No:79/29 Kavaklıdere/ANKARA,0
Yükselen Türkiye Partisi,Duygu SUCUKA,19.12.2024,,MEŞRUTİYET MAH. ATATÜRK BLV. NO: 105 / 512 ÇANKAYA/ANKARA,0
Yükseliş Partisi,Nail ÇAKIR,21.10.2021,,MALTEPE MAH. GMK BLV. NO: 67 / 4 ÇANKAYA/ANKARA,527
Zafer Partisi,Ümit ÖZDAĞ,26.08.2021,,Nasuh Akar Mahallesi 1400. Cadde No:10 Çankaya/ANKARA,71.732
