Party_Name,Chair,Founded,Telephone,Address,Member_Count
Milli Mücadele Partisi,Ahmet KAYA,24/11/2014,0312 472 00 80 - 0312 473 00 19,Milli Müdafaa Cad. No:14 Güvenpark Apartmanı Kat:8 Daire No: 15 ve 16 Kızılay/ANKARA,0
Ayyıldız Partisi,Serap GÜLHAN,03.09.2003,418 06 04,Atatürk Bulvarı 117/24 Kat:6 KIZILAY,1
Milli Oluşum Partisi,Metin ÇAĞRI,26/03/2024,5326131248,KORKUTREİS MAH. NECATİBEY CD. NO: 34 / 4 ÇANKAYA/ANKARA,0
Barış ve Eşitlik Partisi,Çağlayan Garipoğlu,10.02.2020,,Kocatepe Mahallesi Dr. Mediha Eldem Sok. No:77/8 Çankaya /ANKARA,65
Milli Parti,Muhammet UZUN,27.10.2020,,Ortaköy Küme Evleri No: 717 Ortaköy Mamak/ANKARA,135
Bağımsız Cumhuriyet Partisi,Hakkı KARĞIN,24.07.2002,442 59 45,Cumhuriyet Mah. Sakarya Cad. Bayındır 1. Sok. Fazılbey İşhanı Kat:2 Daire: 6-7 Çankaya/Ankara,9
Milli Ulusal Parti,Mehmet TAŞDEMİR,03.05.2024,,Çaldıran Mh. 526. Sk. No: 22/2 Keçiören/ANKARA,53
Bağımsız Türkiye Partisi,Hüseyin BAŞ,25.09.2001,309 20 01,Esat Caddesi No:11 (Akay Yokuşu) Çankaya/ANKARA,14.129
Milli Yol Partisi,Remzi ÇAYIR,14.12.2021,0312 543 58 44,ZÜBEYDE HANIM MAH. AKÇAY CAD. NO: 13 ALTINDAĞ/ANKARA,5.701
Bağımsızlık Partisi,Yener BOZKURT,07.09.2021,,Korkut Reis Mah. Cihan Sok.No:20/20 Çankaya/ANKARA,57
Milliyetçi Sol Parti,Hüseyin ALPAY,19.04.2023,,Bahçelievler Mah. 46. Sok. No: 81/2 Çankaya/ANKARA,0
Birleşik Devrimci Parti,Elif TORUN ÖNEREN,07.09.2015,-,Meşrutiyet Cad. Konur 2 Sokak Kat: 3 No:32/7 Kızılay/ANKARA,85
Milliyetçi Cumhuriyet Partisi,Fehmi HATAŞ,12.11.2020,,Çankaya-Kızılay Mahallesi Menekşe Sokak 20/12 Kızılay/ANKARA,453
Birleşik Komünist Parti,Ali ÖZTUTAN,19.09.2024,,CUMHURİYET MAH. MİTHATPAŞA CD. NO: 8 Kat:4 Daire:18 ÇANKAYA/ANKARA,0
Milliyetçi Hareket Partisi,Devlet BAHÇELİ,07.07.1983,472 55 55,EHLİBEYT MH CEYHUN ATIF KANSU CAD N0.128 BALGAT/ANKARA,495.447
Birlik ve Yükseliş Partisi,Aydın ÜNSAL,12.02.2025,,KUTLU MAH. 454 SK. İREM SİT. NO: 7 / 2 MAMAK/ANKARA,
Müdafaa-i Hukuk Hareketi Partisi,Ufuk ERDÜVENCİ,24.04.2006,230 85 10,Korkut Reis Mahallesi Hanımeli Sokak 21/34 Sıhhiye-Çankaya/ANKARA,112
Bizim Parti,Ahmet KEDİK,03.02.2025,,ERTUĞRUL GAZİ MAH. CEBECİ DORUĞU SK. NO: 11 / 1 ÇANKAYA/ANKARA,
Ocak Partisi,Kadir CANPOLAT,16.09.2020,,EHLİBEYT MAH. CEYHUN ATIF KANSU CD. NO: 102 / A ÇANKAYA/ANKARA,5.441
Büyük Parti,Mikdat ERTEM,23.11.2023,,İLKER MAH. 787 CD. NO: 15 / 6 DİKMEN ÇANKAYA/ANKARA,0
Osmanlı Partisi,Habip GELEŞ,31.08.2016,0850 520 00 50,Menderes Mahallesi Cengiz Topel Caddesi 41/A Sincan/ANKARA,4.771
Büyük Birlik Partisi,Mustafa DESTİCİ,29.01.1993,434 09 20,Mustafa Kemal Mah. 2141. Cad. No: 3 Çankaya/Ankara,111.007
